x,y,z,red,green,blue
134938.763,521768.059,-37.411,,,
134938.559,521766.397,-37.391,,,
134937.343,521766.787,-37.429,,,
134937.18,521767.037,-37.44,,,
134937.314,521767.107,-37.446,,,
134938.163,521766.279,-37.432,,,
134937.932,521766.649,-37.439,,,
134938.433,521766.11,-37.446,,,
134938.422,521766.95,-37.426,,,
134938.003,521767.371,-37.44,,,
134937.923,521767.49,-37.446,,,
134938.906,521766.733,-37.438,,,
134937.277,521766.88,-37.409,,,
134939.18,521766.57,-37.442,,,
134939.104,521766.695,-37.429,,,
134938.368,521767.597,-37.439,,,
134939.024,521766.814,-37.435,,,
134938.41,521767.803,-37.423,,,
134939.17,521767.41,-37.431,,,
134938.431,521768.325,-37.441,,,
134938.355,521768.45,-37.428,,,
134937.285,521767.011,-37.408,,,
134938.224,521766.059,-37.407,,,
134938.144,521766.179,-37.422,,,
134937.605,521767.042,-37.414,,,
134937.524,521767.161,-37.411,,,
134937.731,521767.118,-37.41,,,
134938.713,521766.36,-37.393,,,
134939.078,521766.586,-37.400999999999996,,,
134939.003,521766.712,-37.407,,,
134938.696,521767.207,-37.400999999999996,,,
134938.297,521766.875,-37.438,,,
134938.755,521767.928,-37.412,,,
134938.886,521768.01,-37.398,,,
134938.817,521765.793,-37.417,,,
134938.629,521766.355,-37.39,,,
134938.755,521766.431,-37.395,,,
134938.065,521767.528,-37.417,,,
134939.0,521766.588,-37.397,,,
134938.814,521767.152,-37.406,,,
134938.508,521767.648,-37.418,,,
134938.427,521767.766,-37.415,,,
134939.059,521767.31,-37.417,,,
134939.109,521767.51,-37.4,,,
134938.217,521766.949,-37.465,,,
134938.336,521767.03,-37.462,,,
134937.843,521768.089,-37.465,,,
134938.638,521766.485,-37.389,,,
134938.337,521766.134,-37.413,,,
134939.63,521767.147,-37.476,,,
134939.755,521767.222,-37.472,,,
134938.924,521768.075,-37.419,,,
134939.042,521766.524,-37.417,,,
134938.59,521766.407,-37.389,,,
134937.671,521767.893,-37.407,,,
134938.67,521766.303,-37.409,,,
134940.04,521767.374,-37.39,,,
134938.701,521767.078,-37.409,,,
134938.131,521767.421,-37.42,,,
134938.542,521766.479,-37.405,,,
134938.263,521766.8,-37.454,,,
134938.181,521766.932,-37.469,,,
134938.85,521766.675,-37.464,,,
134938.172,521767.773,-37.485,,,
134939.606,521767.131,-37.478,,,
134938.096,521766.324,-37.479,,,
134938.31,521766.787,-37.462,,,
134939.652,521767.116,-37.458,,,
134939.771,521767.198,-37.463,,,
134937.866,521768.059,-37.457,,,
134938.197,521766.907,-37.46,,,
134939.616,521767.099,-37.47,,,
134937.256,521766.987,-37.403,,,
134938.563,521766.521,-37.41,,,
134938.941,521766.749,-37.417,,,
134939.004,521767.477,-37.409,,,
134939.117,521767.55,-37.406,,,
